,Country,personal,Gasto%,casos_totales,muertes_totales,popData2019,CN14,casos_100000,muertes_100000,continentExp
82,Philippines,49.351,4.4,449400,8733,108116622,17.12984819,415.6622651,8.077388877,Asia
83,Poland,68.926,6.33,1135676,22864,37972812,144.8295394,2990.760863,60.2115008,Europe
84,Portugal,122.104,9.41,348744,5559,10276617,160.421235,3393.568136,54.09367694,Europe
85,Qatar,96.822,2.49,140961,240,2832071,207.7937971,4977.311656,8.474363814,Asia
86,Rwanda,13.384,7.54,6659,56,12626938,2.616271355,52.73645915,0.443496278,Africa
87,Seychelles,123.172,5.11,187,0,97741,9.80157014,191.3219631,0,Africa
88,Slovakia,95.326,6.69,132984,1175,5450421,112.4655117,2439.884919,21.55796772,Europe
89,Slovenia,133.969,8.3,96314,1459,2080908,214.2177971,4628.460268,70.11362348,Europe
90,Spain,101.094,8.98,1730575,47624,46937060,150.4597644,3687.011926,101.4635344,Europe
91,Sudan,11.455,4.51,21386,1347,42813237,2.424972271,49.95184083,3.146223211,Africa
92,Suriname,35.763,7.97,5353,117,581363,49.8767518,920.7672315,20.12511976,America
93,Sweden,216.694,10.9,320098,7514,10230185,119.1854902,3128.956123,73.44930712,Europe
94,Switzerland,222.277,11.88,372329,5378,8544527,170.702047,4357.514465,62.94087432,Europe
95,Thailand,35.643,3.79,4237,60,69625581,0.250556638,6.085407029,0.086175223,Asia
96,Togo,4.876,6.17,3251,66,8082359,2.041718407,40.22340507,0.816593274,Africa
97,Turkey,48.092,4.12,995471,16199,82003882,52.94669587,1213.931555,19.75394287,Europe
98,Uganda,12.382,6.53,27532,221,44269587,2.919988087,62.19168026,0.499214054,Africa
99,Uruguay,99.913,9.2,9708,92,3461731,11.43627653,280.4377348,2.657629954,America
100,Vanuatu,14.247,3.37,1,0,299882,0.015879262,0.333464496,0,Oceania
101,Zambia,10.227,4.93,18274,367,17861034,5.446028791,102.3121058,2.054752261,Africa
102,Zimbabwe,21.442,4.73,11246,307,14645473,4.00403699,76.78823347,2.096210891,Africa
103,Dominica,11.034,6.59,87,0,71808,5.926784636,121.1564171,0,America
104,Mauritius,25.331,5.83,515,10,1269670,1.927030337,40.56172076,0.787606228,Africa
105,Nicaragua,16.645,8.56,5887,162,6545503,4.852257361,89.93961197,2.474981678,America
